;date;1. open;2. high;3. low;4. close;5. volume
244;2015-08-14;156.77;157.4652;153.95;155.75;17165086.0
245;2015-08-07;161.7;161.85;154.335;155.12;20138504.0
246;2015-07-31;159.0;162.06;158.5;161.99;15380412.0
247;2015-07-24;172.79;173.78;159.41;159.75;37075256.0
248;2015-07-17;167.93;172.52;167.52;172.51;17138495.0
249;2015-07-10;163.83;167.4;162.2317;166.95;18143986.0
250;2015-07-02;163.92;165.61;162.12;165.09;12979210.0
251;2015-06-26;167.65;169.97;165.23;165.46;20939777.0
252;2015-06-19;165.33;168.72;164.25;166.99;20761376.0
253;2015-06-12;167.17;170.44;163.37;166.99;18364270.0
254;2015-06-05;170.21;171.5601;167.2;167.4;13868111.0
255;2015-05-29;172.11;172.48;169.13;169.65;12435919.0
256;2015-05-22;173.44;174.44;171.93;172.22;11939607.0
257;2015-05-15;172.65;174.41;168.84;173.26;13435074.0
258;2015-05-08;174.47;176.3;168.86;172.68;16793441.0
259;2015-05-01;170.89;175.1303;170.02;173.67;21874751.0
260;2015-04-24;162.1;171.91;161.9;169.78;35436301.0
261;2015-04-17;162.37;164.96;160.03;160.67;17532781.0
262;2015-04-10;159.69;163.84;158.702;162.86;13917063.0
263;2015-04-02;161.31;163.6;158.39;160.45;16765545.0
264;2015-03-27;162.77;165.35;158.91;160.4;23569213.0
265;2015-03-20;155.05;163.0;154.8;162.88;25684872.0
266;2015-03-13;158.2;161.15;153.4;154.28;26135448.0
267;2015-03-06;161.68;161.89;158.06;158.5;21117049.0
268;2015-02-27;164.23;164.99;159.77;161.94;22941227.0
269;2015-02-20;159.75;164.49;159.73;163.65;14108892.0
270;2015-02-13;156.0;160.8;155.08;160.4;18164756.0
271;2015-02-06;154.0;158.71;151.51;156.72;22439830.0
272;2015-01-30;158.26;159.46;149.52;153.31;32927307.0
273;2015-01-23;156.7;157.6;151.07;155.87;31230797.0
274;2015-01-16;159.0;159.97;153.74;157.14;23272056.0
275;2015-01-09;161.27;161.27;154.03;159.11;24440360.0
276;2015-01-02;162.0;163.31;159.45;162.06;15698987.0
277;2014-12-26;158.33;163.09;158.33;162.34;12508916.0
278;2014-12-19;155.93;160.41;150.5;158.51;34588770.0
279;2014-12-12;163.29;163.33;155.33;155.38;23397756.0
280;2014-12-05;161.64;164.52;161.35;163.27;20945441.0
281;2014-11-28;161.54;163.86;161.01;162.17;17053892.0
282;2014-11-21;164.16;164.97;159.8;160.92;22273217.0
283;2014-11-14;161.9;164.49;161.61;164.16;20088151.0
284;2014-11-07;164.25;164.54;160.05;162.07;20603321.0
285;2014-10-31;162.0;165.59;161.8;164.4;27342119.0
286;2014-10-24;166.845;170.331;161.1;162.08;69701346.0
287;2014-10-17;185.49;186.65;178.69;182.05;24355568.0
288;2014-10-10;189.69;190.89;185.1;185.93;15795271.0
289;2014-10-03;188.51;190.85;186.24;188.67;14352364.0
290;2014-09-26;193.72;194.14;188.61;190.06;16209901.0
291;2014-09-19;191.42;195.0;190.58;194.0;20044000.0
292;2014-09-12;190.75;192.78;189.51;191.28;12878100.0
293;2014-09-05;192.68;192.97;190.06;191.2;9627700.0
