date;1. open;2. high;3. low;4. close;5. volume
2013-09-30;31.75;33.75;30.95;33.28;1242961500.0
2013-08-30;32.06;35.2;30.84;33.4;1051265000.0
2013-07-31;34.75;36.4299;31.02;31.84;1111130600.0
2013-06-28;34.92;35.78;32.57;34.545;945155500.0
2013-05-31;32.93;35.28;32.32;34.9;1071860000.0
2013-04-30;28.64;33.11;28.11;33.1;1322883228.0
2013-03-28;27.72;28.66;27.52;28.605;844946000.0
2013-02-28;27.67;28.2;27.1;27.8;780587000.0
2013-01-31;27.25;28.23;26.28;27.45;1145054400.0
2012-12-31;26.78;27.73;26.26;26.7097;947310900.0
2012-11-30;28.84;30.2;26.3449;26.615;1310516100.0
2012-10-31;29.81;30.25;27.76;28.54;1105402300.0
2012-09-28;30.45;31.61;29.74;29.76;893107700.0
2012-08-31;29.59;30.96;28.97;30.82;671748400.0
2012-07-31;30.62;31.05;28.54;29.47;846604100.0
2012-06-29;28.76;31.14;28.32;30.59;973131400.0
2012-05-31;32.05;32.335;28.64;29.19;1014372600.0
2012-04-30;32.22;32.89;30.23;32.015;940739700.0
2012-03-30;31.93;32.95;31.49;32.255;942366500.0
2012-02-29;29.79;32.0;29.71;31.74;984332300.0
2012-01-31;26.55;29.95;26.39;29.53;1354858100.0
2011-12-30;25.56;26.19;25.16;25.96;1007166600.0
2011-11-30;26.19;27.2;24.3;25.58;1046207400.0
2011-10-31;24.72;27.5;24.26;26.63;1218142500.0
2011-09-30;26.46;27.5;24.6;24.89;1279920200.0
2011-08-31;27.51;27.685;23.79;26.6;1719339500.0
2011-07-29;25.93;28.145;25.84;27.4;1259328200.0
2011-06-30;24.99;26.0;23.65;26.0;1297757600.0
2011-05-31;25.94;26.25;24.03;25.01;1364062800.0
2011-04-29;25.53;26.87;24.72;25.92;1313844800.0
2011-03-31;26.6;26.78;24.68;25.39;1310885200.0
2011-02-28;27.8;28.34;26.43;26.58;1114368500.0
2011-01-31;28.05;29.46;27.42;27.725;1361258700.0
2010-12-31;25.57;28.4;25.56;27.91;1033710000.0
2010-11-30;26.88;27.49;24.93;25.2575;1361176300.0
2010-10-29;24.49;27.2;23.78;26.665;1281432800.0
2010-09-30;23.67;25.53;23.54;24.49;1273139500.0
2010-08-31;25.99;26.38;23.32;23.465;1279372100.0
2010-07-30;23.09;26.41;22.73;25.81;1408590600.0
2010-06-30;25.53;26.93;22.95;23.01;1671811600.0
2010-05-28;30.67;31.0606;24.56;25.8;1720130200.0
2010-04-30;29.35;31.58;28.62;30.535;1319029500.0
2010-03-31;28.77;30.57;28.24;29.2875;1110237200.0
2010-02-26;28.39;29.03;27.57;28.67;1074643300.0
2010-01-29;30.62;31.24;27.66;28.18;1359650900.0
2009-12-31;29.52;31.5;29.25;30.48;920605500.0
2009-11-30;27.7;30.14;27.41;29.41;1018256700.0
2009-10-30;25.405;29.35;24.43;27.73;1523430100.0
2009-09-30;24.35;26.25;23.76;25.72;1038979700.0
2009-08-31;23.82;25.49;23.03;24.65;993250400.0
2009-07-31;24.05;25.72;22.0;23.52;1517459800.0
2009-06-30;21.0;24.34;20.86;23.77;1411144700.0
2009-05-29;20.19;20.94;19.01;20.89;1101122400.0
2009-04-30;18.23;21.2;18.18;20.26;1562400700.0
2009-03-31;16.035;18.88;14.87;18.37;1625752800.0
2009-02-27;17.01;19.93;16.1;16.15;1456213400.0
